streetname,from_st,to_st
NORIEGA ST,27TH AVE,Intersection
ORTEGA ST,26TH AVE,Intersection
ORTEGA ST,27TH AVE,Intersection
QUINTARA ST,26TH AVE,Intersection
QUINTARA ST,27TH AVE,Intersection
RIVERA ST,26TH AVE,Intersection
RIVERA ST,27TH AVE,Intersection
SANTIAGO ST,26TH AVE,Intersection
SANTIAGO ST,27TH AVE,Intersection
09TH AVE,CLEMENT ST,GEARY BLVD
19TH AVE,KIRKHAM ST,LAWTON ST
KIRKHAM ST,19TH AVE,Intersection
22ND AVE,IRVING ST,JUDAH ST
22ND AVE,JUDAH ST,KIRKHAM ST
22ND AVE,KIRKHAM ST,LAWTON ST
22ND AVE,LAWTON ST,MORAGA ST
22ND AVE,MORAGA ST,NORIEGA ST
22ND AVE,NORIEGA ST,ORTEGA ST
22ND AVE,ORTEGA ST,PACHECO ST
22ND AVE,PACHECO ST,QUINTARA ST
22ND AVE,QUINTARA ST,RIVERA ST
22ND AVE,RIVERA ST,SANTIAGO ST
22ND AVE,SANTIAGO ST,TARAVAL ST
JUDAH ST,22ND AVE,Intersection
KIRKHAM ST,22ND AVE,Intersection
LAWTON ST,22ND AVE,Intersection
MORAGA ST,22ND AVE,Intersection
NORIEGA ST,22ND AVE,Intersection
ORTEGA ST,22ND AVE,Intersection
PACHECO ST,22ND AVE,Intersection
QUINTARA ST,22ND AVE,Intersection
RIVERA ST,22ND AVE,Intersection
SANTIAGO ST,22ND AVE,Intersection
23RD AVE,LINCOLN WAY,IRVING ST
23RD AVE,IRVING ST,JUDAH ST
23RD AVE,JUDAH ST,KIRKHAM ST
23RD AVE,KIRKHAM ST,LAWTON ST
23RD AVE,LAWTON ST,MORAGA ST
23RD AVE,MORAGA ST,NORIEGA ST
23RD AVE,NORIEGA ST,ORTEGA ST
23RD AVE,ORTEGA ST,PACHECO ST
23RD AVE,PACHECO ST,QUINTARA ST
IRVING ST,23RD AVE,Intersection
JUDAH ST,23RD AVE,Intersection
KIRKHAM ST,23RD AVE,Intersection
LAWTON ST,23RD AVE,Intersection
MORAGA ST,23RD AVE,Intersection
NORIEGA ST,23RD AVE,Intersection
ORTEGA ST,23RD AVE,Intersection
PACHECO ST,23RD AVE,Intersection
QUINTARA ST,23RD AVE,Intersection
25TH AVE,LINCOLN WAY,IRVING ST
25TH AVE,IRVING ST,JUDAH ST
25TH AVE,JUDAH ST,KIRKHAM ST
25TH AVE,KIRKHAM ST,LAWTON ST
25TH AVE,LAWTON ST,MORAGA ST
25TH AVE,MORAGA ST,NORIEGA ST
25TH AVE,NORIEGA ST,ORTEGA ST
25TH AVE,QUINTARA ST,RIVERA ST
25TH AVE,RIVERA ST,SANTIAGO ST
25TH AVE,SANTIAGO ST,TARAVAL ST
26TH AVE,LINCOLN WAY,IRVING ST
26TH AVE,IRVING ST,JUDAH ST
26TH AVE,JUDAH ST,KIRKHAM ST
26TH AVE,KIRKHAM ST,LAWTON ST
26TH AVE,LAWTON ST,MORAGA ST
26TH AVE,MORAGA ST,NORIEGA ST
26TH AVE,NORIEGA ST,ORTEGA ST
26TH AVE,QUINTARA ST,RIVERA ST
26TH AVE,RIVERA ST,SANTIAGO ST
26TH AVE,SANTIAGO ST,TARAVAL ST
IRVING ST,25TH AVE,Intersection
IRVING ST,26TH AVE,Intersection
JUDAH ST,25TH AVE,Intersection
JUDAH ST,26TH AVE,Intersection
KIRKHAM ST,25TH AVE,Intersection
KIRKHAM ST,26TH AVE,Intersection
